text,value
 मोदी क्या आये दीदी पटेल बोस भगत सिंह राज गुरु सुखदेव सब याद आ गए। पहले तो नेहरू से बड़ा महान कोई नही था।    ,0
है कौन ये मादरचोद,1
आस्था के महापर्व छठी मे जो माँ अपने बच्चों के लिये निर्जला व्रत रखती है वही बच्चा पलायन की मार झेल रहा हो । उस माँ बेटे का ये निक्कमी सरकार नही समझ सकती है ।,0
वर्ष   में भारत सरकार द्वारा   अक्टूबर को प्रतिवर्ष राष्ट्रीय एकता दिवस के रूप में मनाने का निर्णय लिया गया ।   अक्टूबर ही वह दिन है जिस दिन भारत माता को लौह पुरुष सरदार पटेल जैसा हीरा मिला था ।,0
केजरीवाल सरकार जो फ्री टिकट देने का ढिंढोरा पीट रही है उसका सच जानिए जुड़िए लाइव।               ,0
कभी आपने अपने घर पर   रुपए में एक दीया जलाया है एक दीये की कीमत मुश्किल से  रु और बाती तेल मिला कर अधिकतम  रु होगी। मान लो दीया प्रज्वलित करने आपने एक कर्मचारी  रु प्रति दीया भी लगाया तो कीमत  रू ही होतीं हैं। यूपी सरकार ने एक दीया लगभग  रु में लिया।,0
बीजेपी को शिवसेना की गांड पर लात मारने चाहिए,1
साल आपने भी इसी उत्तर प्रदेश की जनता का विश्वास जीता था विकास के नाम पर और विश्वास का नतीजा ये है की न गरीबी गयी न उत्तर प्रदेश का विकास हुआ हुआ तो सिर्फ विश्वासघात। और आप आज खुद ही अपने सरकार की कमियां गिना रहे है।     ,0
क्यों की गांड़ में डंडा डालने वाले कमजोर है,1
बोलो टोटी चोर क्या मिला,0
दिल्ली के पूर्वांचल बिहार मिथिला मैथिली भोजपुरी संस्थाओं से अनुरोध है कि वे दिल्ली के मुख्यमंत्री श्री अरविंद केजरीवाल की घोषणाओं की सच्चाई जानने के लिए सूचना का अधिकार का उपयोग कर जानकारी प्राप्त कर पूरी समीक्षा करें फिर विश्वास करें।,0
रंडी पोर्न स्टार की औलाद प्रकाश राज,1
मोदी ने राजौरी में जवानों के साथ मनाई दिवाली    ,0
ये  बहुत ही शातिर है बहनचोद देखा कि   साल में कुछ किया तो हु नही तो लगा  का राग अलापने ध्यान हटाने के लिए और  भी वैसे ही चूतिये है समझ नहीं पा रहे,1
जनसंख्या बढ़ाओ देश कब्जाओ एक बच्चा पैदा कर उसे डॉक्टर इंजीनियर आईपीएस आईएएस उसेआर्थिक रुप से सम्पन्न बना सकते हैं परन्तुअब्दुल को तो आठ बच्चे चाहिये क्यो की सत्ता की चाबी तो वोटो में होती हैं आप कितने मूर्खऔऱ अब्दुल कितना होशियार हैं। सरकार जागो,0
जो चीज टूटी है वो लिबरल की गांड़ है बीबी दुर्भाग्य ये है कि जुड़ेगी भी नहीं अगले   साल    ,1
आपने देश और केजरीवाल मे से एक को नहीं आपको नफरत और प्यार मे से एक को चुनना था आपणे नफरत को चुना ऐसे हि आगे बढिये और जनसंख्या नियंत्रण के नाम पर लोगों मे नफरत फैलाते रहिये,0
तकरीबन एक साल बाद रात के   बजे उसका फ़ोन आया फिर क्या मेने फ़ोन उठाया और बोला रख मादरचोद सोने दे और काट दिया ।।,1
राजनीतिक छक्कों और रुदालियों की परम आवश्यकता है जो  पर रंडी रोना रो सके महाराष्ट्रहरियाणा चुनाव,1
इनके सावरकर आंग्रेजों के सामने झुक कर मरवा लिए इनके बाप पाकिस्तानी बिरयानी खा के चले गए और इ भोसडी़ वाला बकैती पेल रहा है,1
इस तर्क के हिसाब से बहनचोद का खिताब अकबर ओर मुसलमानों को जाता है,1
बचपन में भी मादरचोद थे अब महामादरचोद हो गये हो     ,1
राजस्थान सरकार का एक ही उद्देश्य का साथ सबका विकास राजस्थान सरकार योजनाओं के लिए प्रतिबद्ध है आदरणीय जननायक एक ही उद्देश्य है ताकि योजनाओं का लाभ घरघर ढाणी ढाणी पहुंचे कोई भी योजनाओं से अछूता ना रहे    ,0
ये झोपड़ी का खरामी ह  भडवा पोर्न का ही पैदायिस ह इसको तो ये। ही नयी पता होगा की इसका बाप कोन होगा दोगला ये जब सुनता हु तब हिंदू धर्म को चोट देता ह पता नयी कितनो का खून ह इस हरामज़ादे में जिस दिन मिल गया गांड मारेगें इस भड़वे का,1
भाई वो गद्दार इसके घर सर्जीकल इस्ट्राइक कर गया ये चूतिया समझ नहीं सका     ,1
इसमें विवादित क्या है बे मादरचोद देखा नही कमलेश तिवारी को कैसे काट दिया अगर उनपे हथियार होता तो बचा लेते अपने आप को मैं तो खरीदूंगा देखता हूं कौन बहन का लंड रोकेगा मुझे,1
भोसड़ी के कालू तू क्यू नहीं चला जाता तेरे को किसने रोका तेरे बाप कोंग्रेसी तो गाये थे अंग्रेजो के पास अपनी फ़रयाद ले के झाटूमेन्टलआदमी     ,1
सहज सरल मृदुभाषी सक्रिय जननेता मप्र सरकार में पूर्व मंत्री वरिष्ट विधायक हमारे बड़े भैया श्री   जी को जन्मदिन की अशेष बधाईयां आप सदा यूँ ही मुस्कुराते रहें स्वस्थ रहें मस्त रहें व्यस्त रहें मैं ईश्वर से आपके सुदीर्घ और मंगलमय जीवन की कांमना करता हूँ जय श्री राम,0
मोदी जी बोले थे नोट बन्दी से आतंकवाद समाप्त होगा फ़िर बोले   समाप्त होने से आतंकवाद समाप्त होगा लेकिन वोह जाहिल थे आतंकवाद तो नेट बन्दी से समाप्त होता है क्यों,0
ये भड़वे वही है जो किसी शांतिदूत की पिटाई हो जाती है तो रंडी रोना शुरू कर देते कमलेश तिवारी की नृशंस हत्या पर मुँह से दही जमाये बैठे है।,1
आज अगर मोदी प्रधानमंत्री है तो अमित शाह के दम पर है पूरे भारत का शहनशाह है अमित शाह,0
केजरीवाल को रगड़ रगड़ के मारेगा कीर्ति आजाद दरभंगिया तुम भी संतोष गुप्ता दरभंगिया है,0
अनुच्छेद   खत्म होने के बाद आज अस्तिस्व में आए केंद्र शासित प्रदेश जम्मू कश्मीर और लद्दाख में विकास का मार्ग प्रशस्त होने के साथ ही अनुसूचित जाति व आदिवासी समुदाय के साथ हो रहे अन्याय का अंत हुआ है। भाजपा सरकार के प्रयासों से देश में एकता अखंडता का सूर्य उग रहा है।,0
अबे यह कटुए भोसड़ी का कहा से पैदा होते हैं  हरामखोर कटुआ,1
अगर पीर मजारों में दुआएँ कबूल होतीं तो कसम श्रीराम जी की मोदी जी  और योगी जी  कभी नहीं बनते,0
ये भोसड़ी वाला गाली का अविष्कार किसने किया और किया तो किया सामने वाले को बताने कि क्या जरूरत थी कि मै तुमको गाली दे रहा हूँ ये गाली है तुमको बुरा मानना है,1
भाग मादरचोद जय चंद,1
अब राजस्थान के जोधपुर में नाबालिग बच्ची से बलात्कार दरिन्दे का नाम है “ सलीम ” हद है बहनचोद सुवरो की  बलात्कारी मुस्लिमो को फाँसी हो,1
अबकी बार हटाओदेशबचाओ का रंडी रोना नही किया विपक्ष ने,1
का रंडी रोना शुरू हो गया,1
ये हैं भविष्य के मादरचोद ।,1
लेकिन बीजेपी वाले तो कह रहे है कि ये सब काम करने के लिए फण्ड मोदी जी दे रहे है वो भी नेहरू जी के मना करने बावजूद,0
तेरे को जो आज पटेल की याद आ रही हैं वो मोदी जी का जादू हैं पगली वरना कल तक तू दादी की नाक दादी की नाक खेल रही थी,0
योगी मोदी शाह सबके सब   भाई बहन है और कुछ गंजेडी जनसंख्या नियंत्रण की बात कर रहे है,0
सरदार पटेल का सपना मोदी ने किया पूरा क्या ये कहना उचित है,0
मुफ्त यात्रा अच्छे स्कूल अस्पताल मिनिमम मजदूरी ये सब केजरीवाल के सिर्फ चुनावी स्टंट।  रिंकिया के पापा तुम भी ऐसा कर दिखाओ है हिम्मत,0
जो मादरचोद बिस्कुट और टाफी के लालच में अपने पङोसी को अब्बा कह सकते हैं वही हर जगह अपनी स्वार्थसिद्धि के चक्कर में लगे रहते हैं । जयसियाराम,1
तुम ही तो बोल रहे हो उत्तर पूर्वी दिशाओं से हवा आता है पर इधर तो केजरीवाल चारो दिशाओं को टारगेट कर रहा है तो क्या पूरे भारत का धुवा प्रदुषण दिल्ली में आकर रुकता है क्या बाकी जगह नहीं जाता ये सब केवल नौटंकी है सारी गंदगी दिल्ली में ही है इसी कारण दिल्ली आज गैस चैंबर बना हुआ है,0
तुम भी लगता है मादर चोद अभी सिह लिख रहे हो लेकिन तनिक देर मे तू बहनचोद तु दलित निकलेगा।,1
अरे मूर्ख भाई तेरे बाप का क्या जा रा है। मोदी को देखो कितने का कपड़ा पहनता है अब जनता का पैसा,0
दिल्ली सरकार का बसों में मार्शल तैनाती का दूसरा दिन क्या एेसे होगी सोती हुई महिला सुरक्षाकर्मियों द्वारा सुरक्षा मार्शल अन्नू,0
सुन मोदी तुने सामाजिक न्याय के पुरोधा लालु यादव  को फँसाकर सही नहीं किया,0
निजी कंपनियों के सामने नाक रगड़ती भारत सरकार और सरकार से ही कर्ज़ लेकर भारत को खरीदती निजी कंपनीयां ये है भारत का वर्तमान। बहुत ही खतरनाक व्हाट्सएप कांड से साफ हो गया है कि ये भांड देश बेच रहा है। देश सुरक्षित हाथो में नही है,0
आपकी तरह सब चूतिया नही है,1
बहुत परले दर्जे का चूतिया हे रे तूँ। दलाल मीडिया     सारी झूठी खबरें ओर  यही से धरातल पर आते हे। जनता जुतियाती भी हे सोचा याद दिला दूँ  भी क़ायदे से पिटे थे अमरीका में भक्तों से। क्यूँ  जी,1
किल्लिंग  में शक है पर तेरी गान्ड पक्की मारी जायेगी भोसडी के   ,1
सुशील मोदी बिहार में नितीश कुमार का पिछलगू बनकर काम कर रहे है बिहार में खुद का बीजेपी सरकार बनाओ नितीश कुमार को बिहार के  के रूप में बहुत समय दिया गया अब नया बिहार के लिए नया आक्रामक गिरिराज सिंह चाहिए,0
महबूबा सरकार जाने के बाद कश्मीर से पत्थरबाजों की प्रजाति अचानक कैसे विलुप्त हुई इसका अध्ययन करने युरोपीय सासंद कश्मीर पहुचे ।,0
तेरे अल्लाह के गण्ड में लन्ड भोसड़ी मुल्ला तेरी अम्मी हिन्दू के लन्ड देख ईद मनाता है,1
मोदी सरकार का   तक   नए एयरपोर्ट बनाने का प्लान हर साल   पायलटों को प्रशिक्षित कर दिया जाएगा रोजगार छोटे शहरों और गांवों को जोड़ने के लिए   नए हवाई रास्ते शुरू किए जाएंगे भाजपा सरकार देश के कोने कोने में पहुंचा रही है हवाई यात्रा की सुविधा,0
कि रवीश कुमार जैसे वामपंथी दीमक और फर्जी उदारवादी और सेकुलर लोग इनके कार्यकर्ताओं की हत्याओं पर इनके पक्ष में बोलेंगे यह प्रश्न भी उदार वादियों से करते हैं सरकार हमने इनकी चुनि है और यह चाहते हैं कि हम लोग भी इनकी तरह उदार वादियों से प्रश्न करें,0
ओ हीरो ज्यादा ज्ञान मत दे अपने काम से काम रख और आईन्दा गाँड उठाके मत आया करो अपना संभाल,1
हहहह्ह फिर बाद में रंडी रोना रोयेगा,1
दिल्ली में रहनेवाले पूर्वांचल वाशियों को गाली देनेवाला दिल्ली का बेशर्म मूर्खमंत्री केजरीवाल ईद पे मुसलमानों को करता है मालामाल और छठ पे पूर्वांचल वाशियों को करता है घायल,0
लवड़िया ज्यादा बकचोदी न कर इसी पे बिठा कर तेरे को उड़ा देंगे बहनचोद ।,1
प्रधानमंत्री नरेंद्र मोदी के भाषण के दौरान हिरासत में लिए गए कई आदिवासी      ,0
जैसे तेरे धर्म मे बाबाओ को पेश की जाती है तेरी बहने और माँ वैसे ही क्या अब भोसड़ी के पहले अपने धर्म का इतिहास तो ठीक कर ले बाद हमे हिन्दू बोल साले शंकर चरसी और बलात्कारी कृष्णा को मैं भगवान नही मानता और अपने धर्म के ग्रंथ पड़ ले जिनको   साल पहले लिखा गया है,1
भैया जरा दिल्ली मेट्रो की बात करलो इतना ज्यादा किराया है तो केजरीवाल को कुछ सब्सिडी उधर भी दे देनी चाहिए,0
भगवान कसम एकदम चूतिया हो भोसदिवाले।,1
सब सरकार करे तुम कुछ न करना,0
ग़द्दारों को रोटी मिल रही है भारत में उनके लिए यही बहुत है बाक़ी रंडि रोना तो पाकिस्तान लेने के बाद भी बंद नहीं हुआअब पूरा देश चाहिए उन्हें,1
मोदी हो या केजरीवाल दोनों संघपुत्र हैं। दोनों की राजनीति सिर्फ लफ्फाजी तक सीमित है।,0
कुछ नही किया तभी तो केजरीवाल जाएगा। तिवारी जी विकल्प है ये सोच कर ही जनता कजरी को निपटायेगा।,0
चचा गुरु आदमी हो तुम तुमने जो बैंक वालो के साथ किया वो मादरचोद इसी लायक है   चचा   ,1
मोदी जी आप हर जगह ये जरूर गाते है कि हमने इत्ते करोड़ जनधन खाते खोल दिया इत्ता मुद्रा लोन दे दिया इत्ता सब्सिडी खातों को लिंक कर दिया आपके योजनाओं को समय पर पूरा करनेवाले बैंकर की सैलरी की बात आते ही ऐसी चुप्पी क्यों,0
उसका बदला इंदिरा जी के हत्या करके लिया गया। फिर   दंगा हुआ को आज़ाद भारत का सबसे भयानक दंगा था जिसमें हजारों बेकसूर सीख मारे गए और मारने वाले सब कांग्रेसी थे । सरकार दंगा कर्मियों को सुरक्षा और साधन प्रदान कर रही थी । सीखो के घर के पते तक सरकार ने ही दंगा कर्मियों को दिए,0
और पटाखे जलाओ पड़ोसी राज्यों में जल रही पराली के खिलाफ कुछ मत बोलो और ठीकरा केजरीवाल सरकार के सिर पर फोड़ दो इसी बात के तो पैसे मिलते हैं।   ,0
संघी सुअर सब का लालू के नाम सुनकर गांड फट जाती है। मोदी तो पेंट में पेशाब कर देता है लालू के नाम सुनके।,1
यही तो केजरीवाल सरकार की खूबसूरती है जनाब,0
भाग भोसडी के कही तेरे गाड़ में ना घुस जाए,1
खुदवा ली नहीं ये सारे जनता का चुतिया काटते हैं ये देख     ,1
यही है भारत की हकीकत जो भी सरकार की नीतियों पे सवाल उठाए वो नज़र बंद,0
र रंडी़ बनना था तने तो दुष्यंत चौटाला   प चला जादां नू अमित शाह के तलवे चाटण की क जरूरत थी साले,1
केजरीवाल की गन्दी राजनीति है यूपी बिहार की जनता को छठ पूजा का रोक लगाया फिर बोलेगा पूजा करो नौटंकी वाज है ये,0
कतई चूतिया हो क्या पटाखे से पैसे और वातावरण दोनों खराब होता है,1
का हो मनोज भईया ई का हव तमाशा समझत हउवा की जनता चुतिया हव का अरे बस करा बहुत हो गयल,1
स्वागतयोग्यकदम मोदी सरकार देशवासियो से पास रखे सोने का हिसाब लेने वाली है। क्या मंदिरमस्जिदगुरुद्वारोचर्चो से भी लेगी क्या,0
तुम्हारी अम्मी बहन   लाख लोगों से चल चुकी है ओरिजनल नाम नही है साले का ना पहचान हिजड़ो की तरह फेक  बनाकर अपनी अम्मी बहन के लिए ग्राहक ढूंढता है ये चुतिया आदमी ।। पता ही नही तुझे तेरा बाप तो कहां से खुद के नाम से रखेगा कुछ। फ़टे निरोध की पैदाईश,1
शुक्र है कि वाशबैसिन पर पैर ही धो रहा है इसका बस चले तो गांड भी धोने लगेगा।,1
तुझे पता नही हॆ तेरी माँ एक मोलवी से गाँड मरवाके आयी थी तब तु पेदा हुअा साले हलाला की पेदाइश,1
एक अंतरराष्ट्रीय दलाल के जरिए मोदी सरकार ने भारत की विदेश कूटनीति का एक तमाशा बनाया,0
हाँ तो मर ले धरती के बोझ    इनको बददुआ देकर मरियो इन्होंने बहुत उकसाया है अंध गोबर पैठे चूतिया भक्तों को की वो खूब पटाखे छोड़कर प्रदूषण करे और तुझ जैसो की लंका लगाएं आखिर दलाली में कम्पटीशन भी कम करना है प्रदूषण जाए भाड़ में,1
भोसड़ी के शक्ल सुवर की तरह है तो बात भी वैसे ही करेगा,1
बहनचोद आजकल  एक दिन में इतनी बार    बोलते है उतनी बार तो एक हवन में पंडित भी स्वाहा नहीं बोलता है,1
मोदी सरकार देश के हर कोने में पहुंचा रही है हवाई सेवाएं,0
तेरी तो फट रही है अरविंद केजरीवाल से,0
टोंटी ने  सालों तक अपनी खालाओं से सफाई में ठुमके लगवाए  ,0
जैसा बीजेपी चुनाव से पहले सर्जिकल स्ट्राइकबॉर्डर पर गोलीबारीआतंकवादी हमलाहिन्दूमुस्लिममंदिरमस्जिद मोदी शाह को जान का खतरा  करती है सब जानते है केजरीवाल ने तुम लोगों से बहुत अच्छा काम किया तुम्हारी तमाम नाकाम कोशिशों के बाद भी की केजरीवाल कुछ ना कर पाए फिर भी कर दिखाया,0
गांड़ मरा ना भोश्रीके,1
यशस्वी प्रधानमंत्री नरेन्द्र मोदी जी का जम्मू कश्मीर से अनुच्छेद   और   हटाने के लिए कोटि कोटि आभार,0
हलाला की पैदाइश लगता है तेरी मा लालु के साथ हीं सोई थी बगदादी जैसे हीं सारे टपका दिये जायेगें जा जरा उसके नाम पर चुडी तोड रंडी रोना कर तुमलोगो का भतार मारा गया    ,1
you wanna me to fuck you bitch,1
you ever fuck a bitch and she start to cry? ,1
fuck bro !,0
lol she is an idiot,0
bad bitches is the only thing that i like ,0
bitch get up off me ,1
fuck no that bitch dont even suck dick,1
"nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick",1
I love uh,0
I hate u,0
damn! You are a funny bitch,0
how stupid can men really be..lol just look at his straight face,0
 woof woof and hot soles,0
All I wanna do is get money and fuck model bitches!,1
"queer"" gaywad",0
i met that pussy on Ocean Dr . i gave that pussy a pill ,1
i need a trippy bitch who fuck on Hennessy,1
oh god these men are such dickheads,1
I wanna u suck my dick and me pressing your boobs,1
oh just eat my boobs and lick my pussy,1
i txt my old bitch my new bitch pussy wetter ,1
wear pushup bra for boob support,0
meow meow pussy cat pussy cat come in ,0
 momma said no pussy cats inside my doghouse ,0
Why the eggplant @aah emoji doe y he say she looked like scream lmao,0
pressing clothes is damn irritating,0
what u prefer - sex or love,1
dat bitch screams while doin sex,1
Him seh me pussy wetter then a shower curtain,1
baby monkey bathtime,0
gay is a religion it shouldn’t be messed up with,0
he seems a fuckin beautiful gay,1
u r beautiful my love,0
" you're fucking gay, blacklisted hoe",1
"Baseball season for the win. #Yankees"" This is where the love started",0
" I'm an early bird and I'm a night owl, so I'm wise and have worms.",0
"Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.",0
Pit Bulls Photographed As Lovely Fairy Tale Creatures,0
"As long as the Lakers trash from now on, I could careless. And that's real.",0
I didn't say anything tho kiss me then faggot,1
I could go for a fat ass bitch on my lap,1
 This isn't ghetto.....it's smart  I'm doing this idc,0
Who wants to get there nose in these bad bois then ,0
Peel up peel up bring it back up rewind back where I'm from they move Shaq from the,0
dirty foot ass bitches..,1
"I play soccer, cheat on girls, and wear khaki coloured cargos haircut",0
LMFAOOOO I HATE BLACK PEOPLE,1
a pissed lad past out. I would lick his dirty soles while he sleep,0
Stay beautiful you bitch,0
her pussy so beautiful boobs so hot nd my dick very erect,1
PostApocalypticHero why men no longer interested not going touch until pull pants down,1
groping people public wasn't already illegal?What up with that deutschland,0
"Women aren't allowed to say ""NO"" in arab countries.",1
elected merkel LOVE Muslim until german citizen take their country back responsible what happens,1
Bunnysmind when no doesn't work...it is advisable to have some way to protect yourself,0
Wear protection use condom,0
"Obama is trying his hardest though to get to Merkel's level. ""A 21-year-old Iraqi man was convicted of sexual assault and given a one-year suspended sentence. A 26-year-old Algerian man was convicted of abetting a sexual assault and attempted assault, and given the same sentence."" Sounds exactly like how Obama is trying to let all of the black people in this country get away with everything. ",1
"scientist They know very well, no means NO! They need to pass a law making it legal to castrate those animals.",1
 look like merkel just want to get laid,1
" In true liberal fashion, an ordinance that no means no, was passed. That will end all rapes by muslimes in Fatherland. ",1
EdLowery A one-year suspended sentence? Wow. That's really harsh.,0
Even though the woman was lying about the whole thing....LOL,0
My Lilly Esin once in a blue moon got a new choice of the crop Chevrolet Corvette Stingray Coupe by unavailable off of a laptop... Flash it out.,0
"Nevergofullliberal That's it pass more laws, you know cause paper and ink prevents crime.",0
The Russians raped millions of German women and children at the end of WWII. Now the German people have to contend with this bunch of savages? How pathetic is it that a country has to cow-tow to a hoard of uncivilized migrants. Take your country back Germany. ,1
"justthetruthnobodywantstohear This will work great, just like the bracelets they handed out that said don't touch me. Liebrals will never learn. hahahahahahaha",1
"Adler Just say ""No."" Yeah that'll stop those nasty rapists, especially the Muslims. ",1
"Ignorant troll. No one said the new law will prevent crime, just that it will make it easier to prosecute criminals --- which is a good thing. ",0
I get the impression that the German people really didn't have much of a say in it. Just another of example of Merkel/Obama progressivness.,0
"If in an Islamic country the raped woman is considered to have dishonored her family and subject to beatings by her family if not subjected to an ""honor killing"".",0
 Add to that....if they do protect the women--there should be no prosecution for them for what they do to these scumbags.,0
"""No"" should have always meant no. Just enforce laws and stop procrastinating and avoiding doing your job !!",0
"""On Thursday, a local court in Cologne handed down the first conviction for a sexual offense on New Year's Eve. A 21-year-old Iraqi man was convicted of sexual assault and given a one-year suspended sentence. A 26-year-old Algerian man was convicted of abetting a sexual assault and attempted assault, and given the same sentence."" That is some aggressive sentencing there, I am absolutely certain that will deter such behavior from them in the future.",0
"GoReaganGoThis would be a very reasonable sentence if it had one caveat, namely, boiling these subhuman scumbags in pig blood.",1
"In the US, gun control is not the answer...BLACK control is the ANSWER.",1
Hundreds of women were raped and molested in the New Year's Eve travesty. And only ONE conviction so far? This only became a problem when Germany opened its borders to hordes of women-hating Muslims.,1
Hard to punish a people that view women as their toys. Their religion allows this. ,1
"It's not a religion. It's a cult of hate, death and destruction.",1
"Let me wrap my mind around this. A woman was raped by two men and a video shows her saying no and now she's on trial?? Yeah, we need European style justice here in America. And let me venture a guess. The opposition to the change that will allow deportation of these savages is the liberal wing of the equivalent to our own Democratic Party.",1
"first immigrate them, then seduce them and then get them into acts where they dont want to hear NO. And then get them to jail if they are not submissive.",1
"Now we have reverse discrimination, BIG TIME because of this PERCEIVED PROBLEM that our DEAR LEADER intended to remedy by EXECUTIVE FIAT! Just another reason why there should not be a federal department of education that doles out OUR OWN TAX MONEY and makes the states JUMP THROUGH HOOPS TO GET IT! Don't you think ENOUGH IS ENOUGH!",0
"Transgender people have existed since the beginning of time. Some have just always kept the fact that they felt they were the wrong gender a secret and suffered in silence. Others actually lived as the other gender often after moving to a new location. Obviously they used the bathroom of the gender they were living as and no one knew, because unlike Christian Conservatives they didn't go into bathrooms or dressing areas flailing their gen italia around. But now that it's 2016, all of a sudden it's a problem. Why? Politics. And the awareness that these people exist.",0
but CHRISTIANS are the only reason why you care about gays or tgs you want them in all of our churches . of have us pay a huge fine right? that is your equal rights,0
The polls are accurate Wayne. Pollsters compete with each other for contracts and as a result focus on accuracy. They have no problem predicting elections within the margin of error. A couple like Fox and Rasmussen have a Republican house effect of around 3 points. A couple like PPP have a Dem house effect of around 3. The polls say Trump isn't doing very well. Worse than they said McCain and Romney were doing at this same time. EVEN Fox's polls.,0
"If Trump ever endorses violence against liberals, I will comply with his wishes, gladly.",1
"So hoes that smoke are losers ? "" yea ... go on IG",1
sex and porn,1
bitches get cut off everyday ,1
wnna watch porn with me,1
porn is banned here,0
such faggots nigga niggi lol,1
jaa re chipkali dimag ka bhosdi mt kr,1
harami sala gandu h tu,1
haram ki kamai,0
gandu aise gand fadnge na teru sari chatni nikl aaygi bhr,1
pasine paseene chut gye ,0
chudaikhana bna rkha h salo ne,1
jhaat bhr ki aukad nhi aajte h gand marane gaandu sale,1
Haram ki kamai aur acche waqt me guroor ni karna chahiye,0
kameeni aurat chup kr,1
कटी हुई लुल्ली से इतने पैदा करते है ये लोग....सही सलामत रहती तो बाप से बाप...रोहिंग्या को निकाल फेको...और जो उसके साथ मे आये उसका हलाला करो... बहनचोद  धर्मशाला समझ लिया है यहाँ.. पाकिस्तान क्यों नही जाते ..,1
जै श्रीराम बोल  बहनचोद  @myogiadityanath  @narendramodi https:// twitter.com/_NationalVoice /status/1134459724760571910   …,1
